 ,Area,XM,YM
1,4120,2617.117,3336.435
2,4103,2766.218,3273.704
3,4114,2572.845,3256.056
4,4093,2863.240,3182.586
5,4121,2545.116,3164.574
6,4046,2703.958,3125.000
7,4101,2955.883,3093.685
8,4118,2541.000,3069.569
9,4048,2782.688,3046.183
10,4125,3044.902,2995.064
11,4129,2553.500,2974.601
12,4052,2869.769,2959.153
13,4043,2702.268,2908.373
14,4132,3137.266,2902.667
15,4114,2572.845,2883.056
16,4120,2961.917,2867.000
17,4038,2779.334,2831.328
18,4127,3222.020,2817.955
19,4120,3049.703,2779.226
20,4098,2169.699,2763.060
21,4098,2255.699,2763.060
22,4051,2855.636,2754.905
23,4101,2340.127,2753.387
24,4103,2085.180,2745.095
25,4093,2424.701,2732.635
26,4098,2000.699,2709.060
27,4103,2509.180,2709.095
28,4102,2593.693,2689.206
29,4101,3290.687,2676.800
30,4101,2679.687,2664.800
31,4102,1928.693,2653.206
32,4090,2769.482,2640.774
33,4101,3218.687,2628.800
34,4102,2859.307,2616.206
35,4117,2367.170,2609.262
36,4100,2949.145,2604.773
37,4100,3128.855,2604.773
38,4040,2171.523,2601.288
39,4103,3038.993,2592.257
40,4088,1863.500,2585.409
41,4050,2254.642,2518.130
42,4113,2465.842,2517.818
43,4090,2037.466,2513.230
44,4098,1820.699,2505.060
45,4120,2679.711,2452.407
46,4051,2554.529,2429.129
47,4051,2338.127,2427.484
48,4101,1799.873,2416.387
49,4101,2145.314,2408.817
50,4042,1958.644,2388.403
51,4118,2697.500,2359.079
52,4115,2440.025,2339.303
53,4095,1791.491,2323.085
54,4124,2242.104,2308.601
55,4053,2042.189,2304.914
56,4118,2697.500,2268.079
57,4119,2529.143,2243.590
58,4107,1803.996,2232.107
59,4131,2334.729,2219.410
60,4051,2128.867,2218.240
61,4123,1947.071,2189.155
62,4120,2697.500,2177.096
63,4095,1827.509,2141.101
64,4128,2418.127,2132.566
65,4121,2227.585,2112.285
66,4124,2034.896,2101.399
67,4116,2679.645,2085.922
68,4124,2498.914,2051.865
69,4125,2320.580,2026.580
70,4118,1445.500,2013.821
71,4112,1541.000,2013.751
72,4130,2125.846,2010.516
73,4118,1350.000,2005.935
74,4128,2625.494,2005.393
75,4118,1636.500,2001.821
76,4118,1732.000,1974.065
77,4118,1254.500,1969.921
78,4118,1827.500,1944.921
79,4120,2557.711,1933.407
80,4120,1920.289,1921.407
81,4118,1170.000,1902.065
82,4114,2013.155,1897.944
83,4120,2477.289,1885.407
84,4118,2106.000,1872.935
85,4121,2198.884,1853.574
86,4128,2384.506,1853.607
87,4120,2291.711,1849.407
88,4113,1648.797,1846.141
89,4120,1448.961,1831.383
90,4132,1270.353,1801.750
91,4048,1733.945,1769.941
92,4112,1537.087,1743.193
93,4093,1924.509,1740.058
94,4124,1344.849,1727.234
95,4045,1814.236,1680.662
96,4051,1622.174,1658.174
97,4101,1941.127,1655.613
98,4134,1428.710,1643.400
99,4052,1713.073,1567.323
100,4098,1956.301,1567.060
101,4126,1506.265,1565.844
102,4107,1586.950,1485.118
103,4101,1957.873,1478.613
104,4050,1803.955,1476.424
105,4100,1671.227,1400.855
106,4103,1941.180,1390.095
107,4091,1747.673,1324.394
108,4102,1909.307,1305.794
109,4101,1856.687,1233.800
